<unk> 1.0	SPN
!SIL 1.0	SIL
آب 1.0	ɒː b
آباد 1.0	ɒː b ɒː d
آتش 1.0	ɒː t æ ʃ
آثار 1.0	ɒː s ɒː ɾ
آخت 1.0	ɒː x t
آختم 1.0	ɒː x t æ m
آختند 1.0	ɒː x t æ n d
آختهام 1.0	ɒː x t e̞ æ m
آختهاند 1.0	ɒː x t e̞ æ n d
آختهای 1.0	ɒː x t e̞ iː
آختهاید 1.0	ɒː x t e̞ iː d
آختهایم 1.0	ɒː x t e̞ iː m
آختی 1.0	ɒː x t iː
آختید 1.0	ɒː x t iː d
آختیم 1.0	ɒː x t iː m
آخر 1.0	ɒː x æ ɾ
آخرین 1.0	ɒː x æ ɾ iː n
آدم 1.0	ɒː d æ m
آذربایجان 1.0	ɒː z æ ɾ b ɒː j e̞ d͡ʒ ɒː n
آراست 1.0	ɒː ɾ ɒː s t
آراستم 1.0	ɒː ɾ ɒː s t æ m
آراستند 1.0	ɒː ɾ ɒː s t æ n d
آراستهام 1.0	ɒː ɾ ɒː s t e̞ æ m
آراستهاند 1.0	ɒː ɾ ɒː s t e̞ æ n d
آراستهای 1.0	ɒː ɾ ɒː s t e̞ iː
آراستهاید 1.0	ɒː ɾ ɒː s t e̞ iː d
آراستهایم 1.0	ɒː ɾ ɒː s t e̞ iː m
آراستی 1.0	ɒː ɾ ɒː s t iː
آراستید 1.0	ɒː ɾ ɒː s t iː d
آراستیم 1.0	ɒː ɾ ɒː s t iː m
آرام 1.0	ɒː ɾ ɒː m
آرامد 1.0	ɒː ɾ ɒː m æ d
آرامش 1.0	ɒː ɾ ɒː m e̞ ʃ
آرامم 1.0	ɒː ɾ ɒː m æ m
آرامند 1.0	ɒː ɾ ɒː m æ n d
آرامی 1.0	ɒː ɾ ɒː m iː
آرامید 1.0	ɒː ɾ ɒː m iː d
آرامیدم 1.0	ɒː ɾ ɒː m iː d æ m
آرامیدند 1.0	ɒː ɾ ɒː m iː d æ n d
آرامیدهام 1.0	ɒː ɾ ɒː m iː d e̞ æ m
آرامیدهاند 1.0	ɒː ɾ ɒː m iː d e̞ æ n d
آرامیدهای 1.0	ɒː ɾ ɒː m iː d e̞ iː
آرامیدهاید 1.0	ɒː ɾ ɒː m iː d e̞ iː d
آرامیدهایم 1.0	ɒː ɾ ɒː m iː d e̞ iː m
آرامیدی 1.0	ɒː ɾ ɒː m iː d iː
آرامیدید 1.0	ɒː ɾ ɒː m iː d iː d
آرامیدیم 1.0	ɒː ɾ ɒː m iː d iː m
آرامیم 1.0	ɒː ɾ ɒː m iː m
آراید 1.0	ɒː ɾ ɒː j æ d
آرایم 1.0	ɒː ɾ ɒː j æ m
آرایند 1.0	ɒː ɾ ɒː j æ n d
آرایی 1.0	ɒː ɾ ɒː j iː
آرایید 1.0	ɒː ɾ ɒː j iː d
آراییم 1.0	ɒː ɾ ɒː j iː m
آرمید 1.0	ɒː ɾ ɒː m iː d
آرمیدم 1.0	ɒː ɾ ɒː m iː d æ m
